PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.3368553287681482,-2.0493842498342416,0,2,1
-0.30325460140288985,0.40557673406662204,1,0,0
1.8799707396567265,2.3984546152724238,2,1,0
-1.083767165676133,1.7084960222519283,1,3,0
-1.5953210126660742,-0.5038583737468546,0,0,0
-1.341177954503279,1.6577642703087336,1,3,0
-1.875550330961734,1.2177949074383303,1,3,0
0.44894467951742273,1.215956933949879,1,3,0
0.9656367499977134,0.6890019515209297,2,1,1
0.02526218643489678,0.7652603546158944,1,2,1
1.7301406680095088,-0.5243265147840976,2,1,-1
-1.116512033761965,1.203501164315271,1,3,0
1.7987126553636568,-0.5806921277016805,2,1,1
0.46973128398555025,-1.1072285836056528,0,0,0
-0.009606216210118219,1.4444484418454653,1,2,1
0.3719347785097614,-1.2102506422581825,0,2,1
-1.1161672717064717,1.458378726202882,1,3,0
-1.736724461449057,-1.7398172789832325,0,0,0
-1.4562219104117367,0.37395557220829595,1,0,0
-0.12485691390286012,3.672706974648656,1,2,-1
-0.9156212412663987,0.9655770440141506,1,3,0
2.527708367853894,-1.3372744960389853,2,1,1
-0.2896685890658552,0.36321200898955286,1,3,0
-0.733156857866158,-1.2267383578266544,0,0,0
-0.08397174000220489,-0.5083651202473948,0,0,0
-1.2737809530478645,0.06647381435650297,1,2,1
-2.022774375977324,-0.4486135407587974,1,0,0
0.9394923929359176,0.710516489647444,2,3,0
1.458721810437256,-2.2521607608622447,0,1,-1
-1.678833131610438,-0.8162105818913783,0,0,0
-1.7460876540368933,-1.9952820633218007,0,0,0
2.00136795486063,2.1050796474833224,2,1,1
-2.175612058674918,-0.14133123525219551,1,0,0
-0.004877887806933111,1.096413569114394,1,3,0
-0.17886143343786526,-0.7198016244647027,0,0,0
2.293399405929018,0.9250824411052547,2,1,1
4.636598503526683,-2.0503653735631344,2,1,-1
-1.1084349312261623,-1.5084871710944745,0,0,0
-0.8609578326438286,-0.7070732105735806,0,0,0
0.42799814469794356,0.17268488171324461,1,2,1
-0.8172582981731703,0.3079379253850294,1,3,0
0.13967530685055174,-0.40520394105644114,0,0,0
0.1346107886051395,-0.23424317203458306,0,0,0
-0.15133792567211754,-0.7061931936003866,0,0,0
-1.2980521933554625,-0.6406580828037901,1,3,0
3.5525815767825444,0.9040748625878126,2,1,1
1.5465106745546828,1.247203231084385,2,1,1
